symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
PSNYW,2025-11-25,0.104,6.522,7.2,7.65,6.75,7.155,837281,5990745,55.3
AMBR,2025-11-26,0.7089,1.58,2.7,3.16,2.3,2.47,89884806,222015470,1040.6
MNDR,2025-11-26,0.3526,11.4,15.42,17.52,14.52,15.9,3612319,57435872,594.6
PW,2025-11-26,0.2482,8.332,10.4,12.4,9.021,9.905,3517386,34839708,551.7
WOOF,2025-11-26,0.1987,2.97,3.56,3.59,3.27,3.4,15801286,53724372,7.1
ALP,2025-11-26,0.172,2.15,2.5199,2.53,1.75,1.88,8686473,16330569,90.7
AEHL,2025-11-26,0.1469,19.2,22.02,23.7,18.66,20.82,4597641,95722885,164.4
BQ,2025-11-26,0.1307,1.76,1.99,3.0,1.88,2.28,15340985,34977445,53.0
DLLL,2025-11-26,0.1136,2.939,3.273,3.38,3.041,3.285,3242048,10650127,4.6
TMC,2025-11-28,0.1252,5.83,6.56,7.07,6.2786,6.96,17733538,123425424,2.6
MSTU,2025-11-28,0.089,11.8,12.85,13.4,11.7,12.05,10738706,129401407,1.1
KEEL,2025-11-28,0.0887,3.1,3.375,3.5674,3.24,3.48,86625849,301457954,1.1
VRCA,2025-11-28,0.0879,6.71,7.3,9.8212,6.92,9.1,2621454,23855231,25.7
ORBS,2025-11-28,0.0843,2.49,2.7,2.77,2.51,2.62,2256653,5912430,0.8
INV,2025-11-28,0.0827,5.2,5.63,5.94,5.3,5.75,1130078,6497948,0.8
IBRX,2025-11-28,0.0775,2.13,2.295,2.45,2.25,2.36,21337605,50356747,2.4
CCUP,2025-11-28,0.0765,3.92,4.22,4.86,4.07,4.71,2563908,12076006,4.5
QTTB,2025-12-01,0.9406,2.19,4.25,6.3699,3.75,3.82,168133505,642269989,1878.1
NCT,2025-12-01,0.4418,19.42,28.0,28.25,11.55,14.2,779919,11074849,1407.8
WBUY,2025-12-01,0.2658,1.58,2.0,2.38,1.85,2.13,15239126,32459338,725.3
NMRA,2025-12-01,0.1295,2.24,2.53,2.59,2.35,2.42,2312141,5595381,1.8
CNCK,2025-12-01,0.1235,3.24,3.64,9.31,3.24,7.88,27356725,215570993,957.0
GEOS,2025-12-01,0.1078,13.17,14.59,15.2299,12.95,13.04,510330,6654703,2.3
BTCZ,2025-12-01,0.1027,4.089,4.509,4.719,4.454,4.569,17883228,81708468,2.8
MSTZ,2025-12-01,0.1013,13.62,15.0,16.9601,14.41,14.515,21765329,315923750,1.1
PLRZ,2025-12-02,1.2057,3.16,6.97,8.36,5.8501,7.33,149473817,1095643078,4657.6
TAOP,2025-12-02,0.4533,2.14,3.11,3.13,2.5,2.84,19766405,56136590,1241.7
JSPR,2025-12-02,0.2442,1.72,2.14,2.4199,1.55,1.58,59461884,93949776,166.2
XXI,2025-12-02,0.1561,11.21,12.96,13.9149,12.43,12.49,723101,9031531,3.2
FRMM,2025-12-02,0.1246,9.47,10.65,11.29,10.26,10.64,1721131,18312833,1.6
AKTX,2025-12-02,0.1225,16.08,18.05,23.99,12.66,13.82,409727,5662427,107.4
CDLR,2025-12-02,0.1153,17.43,19.44,20.645,17.1,17.39,1938187,33705071,14.0
MNDR,2025-12-02,0.1081,11.1,12.3,15.24,12.3,13.56,2175535,29500254,341.3
CAPR,2025-12-03,3.717,6.36,30.0,40.37,21.5,29.96,56959102,1706494695,34.7
VRAX,2025-12-03,1.1327,9.823,20.95,21.75,12.78,17.2,11818653,203280831,3817.4
QCLS,2025-12-03,0.3107,3.38,4.43,5.675,3.82,4.67,54712457,255507174,223.6
IXHL,2025-12-03,0.2319,11.9,14.66,14.7,12.14,13.41,7364008,98751347,19.1
AHMA,2025-12-03,0.1829,12.25,14.49,18.2,14.35,15.04,6100438,91750587,47.5
MVLL,2025-12-03,0.153,8.89,10.25,10.63,9.433,10.28,4278966,43987770,6.0
POET,2025-12-03,0.1517,4.68,5.39,6.08,5.1901,6.01,22837177,137251433,2.4
AARD,2025-12-03,0.1263,9.26,10.43,12.0873,10.36,11.93,542022,6466322,3.4
PLRZ,2025-12-04,1.3004,7.09,16.31,18.2,12.46,14.5,26546008,384917116,795.6
PMI,2025-12-04,0.2624,2.02,2.55,4.16,2.23,3.69,39194355,144627169,121.3
QCLS,2025-12-04,0.1734,4.67,5.48,7.9499,5.4,6.92,96020802,664463949,392.4
CBIO,2025-12-04,0.1603,13.41,15.56,16.3499,12.36,12.99,2483915,32266055,54.3
FLYE,2025-12-04,0.1432,8.66,9.9,10.5,9.2,9.99,1495683,14941873,81.6
XXI,2025-12-04,0.098,11.84,13.0,17.69,12.9,14.5,1920657,27849526,7.6
BIOA,2025-12-04,0.0868,9.22,10.02,11.05,9.85,10.5,1151791,12093805,4.5
TIGR,2025-12-04,0.0855,8.66,9.4,9.4,8.815,9.01,9254823,83385955,2.7
TORO,2025-12-05,0.2374,2.477,3.065,3.569,2.951,3.479,15493956,53903472,559.4
FTH,2025-12-05,0.1903,10.56,12.57,13.26,7.45,9.72,1109137,10780811,53.7
PCSC,2025-12-05,0.1037,10.7,11.81,12.99,11.76,12.2,3095795,37768699,28016.2
BRR,2025-12-05,0.0882,5.33,5.8,5.8,3.75,4.36,4799385,20925318,7.3
TWG,2025-12-05,0.0833,6.0,6.5,6.5,5.285,6.01,7563722,45457969,405.6
DNA,2025-12-05,0.0749,9.21,9.9,9.95,9.0127,9.25,1420115,13136063,1.3
WVE,2025-12-08,0.7123,7.49,12.825,19.6,12.72,18.52,147251357,2727095131,58.3
TWG,2025-12-08,0.5824,6.01,9.51,26.36,8.62,22.01,24251498,533775470,1300.6
FULC,2025-12-08,0.4562,8.9,12.96,15.7399,12.74,12.99,24718110,321088248,32.8
MTVA,2025-12-08,0.2552,8.1819,10.27,13.42,9.81,11.52,2358658,27171740,92.2
HWH,2025-12-08,0.2022,1.83,2.2,2.81,1.9701,2.33,7033264,16387505,497.3
NRIX,2025-12-08,0.1846,18.09,21.43,22.4999,20.21,21.47,6061844,130147790,3.7
SUGP,2025-12-08,0.1607,5.6,6.5,9.52,6.3101,7.13,3308830,23591957,137.3
OCUL,2025-12-08,0.159,12.58,14.58,16.44,14.58,16.11,16926977,272693599,7.4
XCUR,2025-12-09,0.7223,5.33,9.18,9.4799,6.91,7.29,30426933,221812341,1553.8
AMCI,2025-12-09,0.327,7.8449,10.41,15.0,9.14,10.3,12640854,130200796,709.4
VOR,2025-12-09,0.2626,8.36,10.555,12.82,8.9477,10.72,41895039,449114818,96.0
MAMA,2025-12-09,0.2469,11.18,13.94,14.5,12.3175,14.32,3197482,45787942,12.8
TROX,2025-12-09,0.2399,3.702,4.59,5.182,4.239,4.649,30114426,140001966,8.4
DBI,2025-12-09,0.2289,4.767,5.858,7.126,5.72,7.077,11520294,81529120,18.6
AFJK,2025-12-09,0.21,8.0,9.68,98.15,9.3765,88.5,6728517,595473754,1140.7
SNTI,2025-12-09,0.1862,2.39,2.835,2.88,1.515,1.54,73591908,113331538,834.8
ASPC,2025-12-10,1.4809,10.48,26.0,63.98,16.81,16.81,3186957,53572747,3060.0
ENVB,2025-12-10,0.9696,5.92,11.66,13.25,8.6,10.33,35034700,361908451,870.7
BBGI,2025-12-10,0.4938,4.05,6.05,26.37,5.67,16.69,45846411,765176599,5749.5
CGTL,2025-12-10,0.4264,9.899,14.12,17.25,12.18,14.59,1659767,24216000,158.8
NXDR,2025-12-10,0.3433,2.01,2.7,2.99,2.21,2.53,60151529,152183368,29.0
MNTS,2025-12-10,0.2639,13.64,17.24,18.74,14.77,15.89,7944028,126230604,168.2
VELO,2025-12-10,0.2155,6.59,8.01,9.25,6.8,8.6,4221568,36305484,8.4
AHT,2025-12-10,0.212,3.16,3.83,4.67,3.825,4.55,5033613,22902939,127.4
BTTC,2025-12-11,1.6998,3.315,8.95,10.0499,4.0,4.12,51592329,212560395,1717.4
ATPC,2025-12-11,0.7529,3.4,5.96,9.185,4.64,8.995,15482336,139263612,26241.2
AXIL,2025-12-11,0.6833,5.02,8.45,9.86,7.1,8.0,28587853,228702824,5152.4
PETS,2025-12-11,0.4068,1.77,2.49,4.05,2.4,2.98,131268933,391181420,773.9
BGDE,2025-12-11,0.2687,6.7,8.5,15.8,6.05,6.1,57960202,353557232,486.7
PL,2025-12-11,0.2202,12.94,15.79,17.975,15.01,17.47,58974671,1030287502,8.2
BQ,2025-12-11,0.19,2.0,2.38,2.6996,2.2,2.4,4185382,10044916,7.3
NXDR,2025-12-11,0.166,2.53,2.95,3.72,2.7501,2.77,71476422,197989688,32.8
MSOX,2025-12-12,0.7016,3.82,6.5,8.25,5.72,7.94,12064980,95795941,14.3
KPLT,2025-12-12,0.4827,6.205,9.2,9.23,7.0,7.13,20772570,148108424,293.2
TLRY,2025-12-12,0.3808,8.43,11.64,12.41,10.28,12.15,84198446,1023011118,18.5
MSOS,2025-12-12,0.3457,3.76,5.06,5.99,4.7001,5.8,89236441,517571357,12.7
NCI,2025-12-12,0.3387,9.92,13.28,15.36,11.76,15.36,4259137,65420344,2532.2
NX,2025-12-12,0.3262,14.87,19.72,20.13,16.02,16.29,3440055,56038495,5.4
WEED,2025-12-12,0.3067,16.27,21.26,25.66,20.11,25.325,229175,5803856,11.9
JZXN,2025-12-12,0.286,5.63,7.24,7.96,2.5,2.7,10798147,29154996,361.1
RADX,2025-12-15,2.2653,4.26,13.91,16.25,8.91,10.63,37694452,400692024,3714.8
MASK,2025-12-15,0.6161,7.518,12.15,16.63,10.0,10.25,8183346,83879296,1617.1
KYTX,2025-12-15,0.3895,8.78,12.2,13.67,10.4,10.82,19449405,210442562,42.3
AMCI,2025-12-15,0.3358,2.71,3.62,9.1499,3.602,7.27,103787361,754534114,5824.4
ARTV,2025-12-15,0.2394,3.3,4.09,7.25,4.08,6.3,47772206,300964897,286.8
MIST,2025-12-15,0.2075,2.41,2.91,2.92,2.1,2.345,72304877,169554936,22.1
GLSI,2025-12-15,0.205,10.73,12.93,14.1934,10.113,10.31,3998707,41226669,49.2
IMNM,2025-12-15,0.1712,19.57,22.92,25.3,21.22,22.64,12946788,293115280,9.7
SRXH,2025-12-16,1.3322,18.27,42.61,42.61,21.0,22.61,6312503,142725692,753.3
RILYL,2025-12-16,0.7669,3.26,5.76,6.6319,4.8,6.2,1235088,7657545,243.3
AMCI,2025-12-16,0.6479,7.27,11.98,15.09,11.05,14.65,77709681,1138446826,3932.1
CPAC,2025-12-16,0.402,6.99,9.8,11.3,8.0,10.64,3340598,35543962,127.3
AZI,2025-12-16,0.2987,15.4,20.0,22.6,16.0,18.7,3674102,68705707,120.0
RZLV,2025-12-16,0.2909,2.32,2.995,3.24,2.72,2.97,75862553,225311782,5.8
RILY,2025-12-16,0.2715,3.72,4.73,6.05,4.36,5.72,25221316,144265927,39.9
VRA,2025-12-16,0.1284,1.83,2.065,2.265,2.06,2.17,2721631,5905939,4.3
ATPC,2025-12-17,0.7033,4.5,7.665,8.355,6.365,7.04,7133231,50217946,9818.6
DBVT,2025-12-17,0.4071,17.98,25.3,26.185,20.91,22.55,3951140,89098207,16.0
BEAT,2025-12-17,0.1512,3.44,3.96,4.0,2.9,3.07,36223270,111205438,26.3
MSOX,2025-12-17,0.1316,9.5,10.75,11.32,9.93,10.24,4339988,44441477,4.1
AZI,2025-12-17,0.115,18.7,20.85,22.6,17.3,18.0,1503195,27057510,47.8
PCSA,2025-12-17,0.1148,3.005,3.35,8.88,3.2801,6.68,39586243,264436103,845.9
COUR,2025-12-17,0.1134,7.94,8.84,8.89,7.705,7.84,15587765,122208077,6.5
TWO,2025-12-17,0.0934,9.047,9.892,10.26,9.796,10.14,22943068,232642709,19.1
LONA,2025-12-18,0.7557,4.135,7.26,8.36,6.54,6.72,60468235,406346539,3438.8
DJTWW,2025-12-18,0.5284,4.58,7.0,8.05,6.0001,7.62,660303,5031508,16.9
SOC,2025-12-18,0.5246,5.28,8.05,9.47,7.85,8.25,50105367,413369277,8.3
FLZH,2025-12-18,0.3676,7.4,10.12,12.15,8.25,8.778,7620264,66890677,417.3
DJT,2025-12-18,0.2832,10.47,13.435,15.2,12.71,14.86,100543355,1494074255,23.2
MUU,2025-12-18,0.2739,3.198,4.074,4.26,3.777,3.843,71891760,276280033,2.6
MULL,2025-12-18,0.2731,2.303,2.932,3.068,2.719,2.769,22667425,62766099,3.1
ISSC,2025-12-18,0.253,10.99,13.77,15.4,13.0,14.37,3265099,46919472,13.7
AZI,2025-12-19,0.4474,15.2,22.0,32.5,20.8,25.0,8620330,215508250,256.5
RDAC,2025-12-19,0.2512,10.39,13.0,14.1,9.001,10.41,1014326,10559133,100.5
NRXS,2025-12-19,0.2118,2.88,3.49,3.7,2.96,3.22,15241281,49076924,309.5
WYFI,2025-12-19,0.1888,14.3,17.0,17.5,15.35,16.74,5442143,91101473,5.4
RENX,2025-12-19,0.1692,5.036,5.888,5.888,4.426,5.066,3865734,19583808,104.9
MSOX,2025-12-19,0.1344,5.06,5.74,6.16,4.85,5.01,5228472,26194644,4.7
DJTWW,2025-12-19,0.101,7.62,8.39,11.45,8.16,9.9399,789959,7852113,20.2
LUNR,2025-12-19,0.0912,10.85,11.84,15.05,11.706,14.94,44085677,658640014,7.4
HYMC,2025-12-22,0.275,16.42,20.935,26.25,20.15,24.52,20310236,498006986,12.5
ADEA,2025-12-22,0.2681,12.72,16.13,17.17,15.54,16.6,3601697,59788170,4.9
VELO,2025-12-22,0.1542,10.83,12.5,16.29,12.38,15.59,7091929,110563173,12.5
SRFM,2025-12-22,0.1284,1.83,2.065,2.31,2.03,2.07,12464705,25801939,4.1
WKEY,2025-12-22,0.125,7.6,8.55,9.73,8.41,9.08,711864,6463725,2.3
KITT,2025-12-22,0.1203,6.95,7.786,8.16,7.152,7.152,1190613,8515264,9.3
NFGC,2025-12-22,0.1191,2.77,3.1,3.305,2.99,3.18,5950758,18923410,3.9
MENS,2025-12-22,0.0866,3.175,3.45,7.8199,3.26,4.78,21592164,103210543,106.2
PCLA,2025-12-23,0.511,3.693,5.58,14.1,5.199,10.8,27398881,295907914,5295.0
OPTX,2025-12-23,0.4239,1.97,2.805,3.54,2.41,2.49,94762293,235958109,883.4
AIRE,2025-12-23,0.2586,11.6,14.6,15.02,12.0,12.68,2260483,28662924,16.6
VBIO,2025-12-23,0.232,1.81,2.23,2.51,1.81,1.89,49330964,93235521,1631.6
JFB,2025-12-23,0.1975,6.91,8.275,9.34,6.75,7.525,838916,6312842,10.1
NVOX,2025-12-23,0.1896,19.73,23.47,23.9,22.15,22.6,3381911,76431188,1.6
SOC,2025-12-23,0.1618,7.6,8.83,10.77,7.9,10.36,44939953,465577913,7.5
BVC,2025-12-23,0.1146,9.6,10.7,18.2,10.0,15.3,2111644,32308153,562.9
MWG,2025-12-24,1.3311,2.531,5.9,6.049,3.222,3.496,28528396,99735272,29655.3
OMER,2025-12-24,0.8789,8.75,16.44,17.65,13.92,15.36,24509175,376460928,17.7
INDP,2025-12-24,0.5256,1.95,2.975,3.15,2.32,2.65,27990850,74175752,815.3
DRMA,2025-12-24,0.2328,2.04,2.515,2.69,2.22,2.37,20986232,49737369,418.7
WLDS,2025-12-24,0.1825,12.33,14.58,15.39,11.25,11.7,1094909,12810435,38.3
SIDU,2025-12-24,0.1515,1.65,1.9,2.36,1.8899,2.2,83738337,184224341,49.5
AIRI,2025-12-24,0.0917,3.49,3.81,3.95,3.1,3.35,2883550,9659892,121.2
SUPX,2025-12-24,0.0807,16.97,18.34,18.6375,15.745,17.98,371973,6688074,1.0
ASPC,2025-12-26,0.6513,13.42,22.16,56.0,17.5,24.01,7435835,178534398,2298.9
CANF,2025-12-26,0.5014,3.606,5.414,5.47,4.2,4.278,8814435,37708152,165.2
PCLA,2025-12-26,0.4196,6.963,9.885,14.7,8.475,12.15,11502884,139760040,1935.9
SIDU,2025-12-26,0.3636,2.2,3.0,3.38,1.765,1.93,200695710,387342720,113.3
PBK,2025-12-26,0.125,2.0,2.25,2.25,1.86,1.91,6666935,12733845,16.3
AMCI,2025-12-26,0.1016,9.35,10.3,11.93,8.147,8.73,20705531,180759285,412.1
PPSI,2025-12-26,0.1012,4.05,4.46,4.95,4.4401,4.63,1413065,6542490,28.6
GSIT,2025-12-26,0.0974,6.06,6.65,8.72,6.51,7.65,19529555,149401095,22.7
MASK,2025-12-29,0.4083,4.575,6.443,7.323,5.613,6.515,6126791,39916043,939.4
ANL,2025-12-29,0.2195,1.64,2.0,2.01,1.17,1.8,23639499,42551098,1466.1
SIDU,2025-12-29,0.1503,1.93,2.22,2.73,2.2,2.57,113496718,291686565,62.3
ORBS,2025-12-29,0.1411,1.665,1.9,2.5,1.83,1.835,29244310,53663308,10.6
DBRG,2025-12-29,0.0979,13.89,15.25,15.29,15.22,15.23,86863660,1322933541,29.7
GVH,2025-12-29,0.0962,2.6,2.85,4.9,2.85,3.56,18089897,64400033,871.8
SUPX,2025-12-29,0.0872,14.9,16.2,16.21,14.51,14.51,461583,6697569,1.2
PALI,2025-12-29,0.0837,2.15,2.33,2.57,2.29,2.48,13830373,34299325,3.0
AMIX,2025-12-30,0.6165,11.24,18.17,18.82,10.83,12.18,6473839,78851359,464.2
CHRN,2025-12-30,0.6026,5.46,8.75,12.7,7.8001,10.58,111142997,1175892908,2715.7
AEHL,2025-12-30,0.5133,6.78,10.26,14.82,9.84,13.08,7856632,102764746,189.2
DRMA,2025-12-30,0.2957,1.86,2.41,2.58,2.2,2.28,22451849,51190215,391.4
FLYE,2025-12-30,0.281,5.285,6.77,7.94,6.2526,7.12,3803745,27082664,196.4
GRI,2025-12-30,0.1799,6.941,8.19,8.985,7.372,7.79,1641901,12790408,61.5
SIDU,2025-12-30,0.1459,2.57,2.945,3.08,2.51,2.67,84914537,226721813,42.5
AISP,2025-12-30,0.0942,2.76,3.02,3.29,2.93,2.95,2786081,8218938,4.1
ANGH,2025-12-31,0.7629,2.32,4.09,4.19,3.56,3.77,43264127,163105758,6447.2
INBS,2025-12-31,0.4024,4.1,5.75,12.94,5.62,9.53,108426848,1033307861,7548.8
DRCT,2025-12-31,0.373,13.27,18.22,18.22,13.86,14.17,956134,13548418,25.1
ISPC,2025-12-31,0.2511,11.83,14.8,14.85,10.4,10.4,538405,5599412,91.0
VNDA,2025-12-31,0.2134,7.03,8.53,9.6,8.5,8.82,23812449,210025800,16.7
NEXR,2025-12-31,0.1846,10.51,12.45,12.74,11.06,11.51,504888,5811260,28.4
XERS,2025-12-31,0.0793,7.31,7.89,8.2199,7.55,7.85,5331731,41854088,3.0
IRWD,2026-01-02,0.3635,3.37,4.595,5.78,4.2,4.27,85044335,363139310,41.2
DXF,2026-01-02,0.3399,1.53,2.05,2.34,1.82,2.12,5965027,12645857,235.3
SOC,2026-01-02,0.1851,9.02,10.69,12.295,10.26,11.73,20002677,234631401,3.3
SLS,2026-01-02,0.1804,3.77,4.45,4.66,3.96,4.35,30414024,132301004,5.3
SIDU,2026-01-02,0.164,3.14,3.655,4.44,3.5,4.33,147053126,636740035,73.5
KORU,2026-01-02,0.1126,9.078,10.1,10.47,10.07,10.42,3525460,36735293,2.3
BEX,2026-01-02,0.0937,9.39,10.27,11.92,9.82,11.79,672852,7932925,1.1
NEBX,2026-01-02,0.0851,9.4,10.2,11.01,9.957,10.84,2226693,24137352,0.8
MNTS,2026-01-05,0.7247,5.74,9.9,11.6999,7.15,8.82,68776519,606608897,212.4
MOBX,2026-01-05,0.4704,2.7,3.97,4.039,3.018,3.281,19547876,64136581,183.0
GHRS,2026-01-05,0.4211,13.24,18.8159,19.0,15.0,15.46,5554418,85871302,25.4
MKDW,2026-01-05,0.3048,4.95,6.459,6.471,4.44,4.956,2774933,13752567,338.1
SOWG,2026-01-05,0.2494,5.157,6.443,7.371,5.298,6.975,2583103,18017143,580.2
MASK,2026-01-05,0.2349,6.3,7.78,8.403,7.225,8.185,2784242,22789020,150.1
SLAI,2026-01-05,0.2327,4.543,5.6,7.07,4.617,5.895,1214322,7158428,83.6
TENX,2026-01-05,0.2027,11.05,13.29,13.85,11.76,12.32,634626,7818592,3.6
ALMS,2026-01-06,1.6715,8.31,22.2,22.3,15.27,16.23,65139559,1057215042,61.8
WVE,2026-01-06,0.27,15.0,19.05,19.5,15.12,15.15,15042438,227892935,5.3
AEVA,2026-01-06,0.2574,13.09,16.46,18.43,15.18,17.59,21602394,379986110,14.3
IMSR,2026-01-06,0.2353,6.99,8.635,9.2599,8.16,9.11,21887760,199397493,13.1
IBIO,2026-01-06,0.1968,1.88,2.25,2.68,2.04,2.06,18371709,37845720,13.9
NBP,2026-01-06,0.1819,4.37,5.165,5.19,3.805,3.88,3113155,12079041,6.5
BNAI,2026-01-06,0.1506,3.62,4.165,4.9099,4.07,4.67,16149986,75420434,89.3
ARVN,2026-01-06,0.1406,11.17,12.74,12.74,11.585,11.83,837805,9911233,0.9
GLUE,2026-01-07,0.3685,16.01,21.91,25.15,21.11,23.28,23208664,540297697,28.1
AMOD,2026-01-07,0.361,19.64,26.73,30.0,24.12,26.16,1830141,47876488,582.6
SKYQ,2026-01-07,0.1997,4.668,5.6,6.689,5.072,5.502,5878914,32345784,264.1
MNTS,2026-01-07,0.1902,9.83,11.7,15.9799,10.86,13.9,25697184,357190857,66.1
MASK,2026-01-07,0.1635,10.52,12.24,12.87,10.08,11.16,878917,9808713,37.0
MBLY,2026-01-07,0.1568,12.18,14.09,14.33,12.1,12.24,51469705,629989189,11.0
NMRA,2026-01-07,0.1429,1.82,2.08,2.54,2.05,2.29,13549728,31028877,16.4
ACRV,2026-01-07,0.0997,3.01,3.31,3.56,2.86,2.95,3058180,9021631,8.2
FLYX,2026-01-08,0.9363,3.14,6.08,8.88,5.73,7.23,115470732,834853392,8567.0
MLTX,2026-01-08,0.434,11.29,16.19,16.39,13.7101,14.34,24534578,351825848,14.9
ACON,2026-01-08,0.42,5.75,8.165,9.36,7.29,8.17,43400418,354581415,601.6
JTAI,2026-01-08,0.3955,10.62,14.82,21.8,13.11,13.73,1619372,22233977,1813.4
ASPC,2026-01-08,0.3617,16.34,22.25,23.5,19.208,21.37,1141509,24394047,14.7
NEOG,2026-01-08,0.252,7.38,9.24,10.24,9.115,9.71,22996919,223300083,7.1
BEX,2026-01-08,0.2372,14.21,17.58,19.44,16.45,17.85,1512999,27007032,2.4
VNRX,2026-01-08,0.2216,5.714,6.98,7.724,6.5,7.096,748620,5312207,10.1
OPAD,2026-01-09,0.5329,15.2,23.3,26.7,21.1,21.9,11823388,258932197,141.8
RENX,2026-01-09,0.3664,3.876,5.296,5.678,4.234,4.38,10184226,44606909,129.0
BLNE,2026-01-09,0.208,1.755,2.12,2.33,1.9905,2.05,2858473,5859869,5.0
AMIX,2026-01-09,0.1711,10.46,12.25,13.41,10.08,10.76,2052674,22086772,147.2
LDI,2026-01-09,0.1516,2.44,2.81,3.135,2.795,2.91,16312241,47468621,4.5
KUST,2026-01-09,0.1514,14.2,16.35,16.5,12.1,12.95,1141742,14785558,138.4
ICON,2026-01-09,0.1398,3.22,3.67,3.7,2.85,3.12,7599998,23711993,274.4
ASPI,2026-01-09,0.1273,6.44,7.26,8.08,7.26,7.51,19154904,143853329,4.1
OM,2026-01-12,0.4232,4.56,6.49,6.49,5.22,5.57,25305912,140953929,57.6
SOGP,2026-01-12,0.3195,10.86,14.33,17.19,12.17,13.73,2538647,34855623,121.8
INBS,2026-01-12,0.2835,17.92,23.0,24.9,13.61,15.26,4774178,72853956,119.3
BDSX,2026-01-12,0.2811,5.46,6.995,9.83,6.9401,8.08,75528666,610271621,1727.7
UP,2026-01-12,0.2648,13.52,17.1,23.4,16.01,19.82,4124239,81742416,26.7
BARK,2026-01-12,0.2587,12.37,15.57,16.49,15.22,15.55,707746,11005450,16.0
RXST,2026-01-12,0.1652,8.84,10.3,10.9555,9.74,10.09,1560853,15749006,2.1
KC,2026-01-12,0.157,11.02,12.75,13.66,12.65,13.4,4991767,66889677,5.2
AHMA,2026-01-13,1.1534,5.28,11.37,13.83,8.82,12.34,43801938,540515914,326.0
XAIR,2026-01-13,0.8721,17.52,32.8,53.2,27.4,43.8,20430275,894846045,2841.5
DCOY,2026-01-13,0.6564,9.78,16.2,16.92,12.84,15.0,9067572,136013580,360.3
BCTX,2026-01-13,0.5654,7.64,11.96,12.1,9.0616,10.92,7417629,81000508,112.1
AZIO,2026-01-13,0.3267,2.51,3.33,4.91,2.62,3.52,287087691,1010548672,908.0
XTLB,2026-01-13,0.2694,2.732,3.468,5.64,3.0,4.28,9267213,39663671,2015.9
WATT,2026-01-13,0.2351,5.53,6.83,8.2,4.8,5.19,5922801,30739337,119.7
IOTR,2026-01-13,0.2337,2.61,3.22,4.1,3.04,3.97,23324674,92598955,1382.9
ROLR,2026-01-14,3.4034,3.52,15.5,33.68,12.33,18.89,82490865,1558252439,1243.1
BEEM,2026-01-14,0.2429,1.77,2.2,2.31,1.8,1.87,58570790,109527377,328.6
AIFC,2026-01-14,0.1934,1.81,2.16,2.4,2.05,2.37,22005977,52154165,5.9
KULR,2026-01-14,0.1594,3.45,4.0,4.31,3.68,4.05,18724209,75833046,13.4
GSIT,2026-01-14,0.1536,7.68,8.86,8.898,6.9,7.41,7213991,53455673,6.8
SXTC,2026-01-14,0.14,15.0,17.1,17.1,14.1,14.44,380389,5492817,2641.6
AGIG,2026-01-14,0.1211,3.22,3.61,4.1299,3.25,3.45,4342053,14980082,11.5
BNAI,2026-01-14,0.0886,3.61,3.93,6.75,3.88,5.8,46841270,271679366,149.4
SPHL,2026-01-15,2.4756,2.25,7.82,25.11,6.08,17.41,113124978,1969505866,2422.3
ATPC,2026-01-15,0.7,3.5,5.95,7.295,5.215,5.46,10180132,55583520,58.0
BNKK,2026-01-15,0.4928,2.78,4.15,5.05,3.62,3.96,74694723,295791103,360.0
RILY,2026-01-15,0.3318,7.54,10.042,10.97,9.14,9.5,17933886,170371917,22.5
RFIL,2026-01-15,0.258,7.21,9.07,9.29,8.54,8.84,1401114,12385847,23.3
ROLR,2026-01-15,0.2096,18.89,22.85,29.5,20.5,23.75,23390880,555533400,320.9
AGPU,2026-01-15,0.1982,6.8601,8.22,9.0,6.51,7.08,3864602,27361382,79.9
GLXU,2026-01-15,0.137,16.2,18.42,21.6787,17.1,20.67,455227,9409542,4.6
NEXR,2026-01-16,1.2043,7.812,17.22,27.44,15.4,18.06,16794195,303303161,847.4
LCFY,2026-01-16,0.8562,3.13,5.81,6.2,3.99,4.55,42688141,194231041,6111.0
ACCL,2026-01-16,0.4482,2.99,4.33,4.63,2.46,2.5,24515428,61288570,825.1
SVRE,2026-01-16,0.3611,5.76,7.84,7.84,6.44,6.68,10028377,66989558,382.2
SOWG,2026-01-16,0.2517,11.96,14.97,15.9,12.81,14.55,1014073,14754762,120.2
TNMG,2026-01-16,0.2458,2.36,2.94,4.68,2.86,3.91,27761250,108546487,532.9
BNAI,2026-01-16,0.2102,5.71,6.91,7.43,5.69,6.35,4451791,28268872,13.5
PTLE,2026-01-16,0.2014,8.64,10.38,12.0,9.4,10.42,2018906,21037000,212.0
IVF,2026-01-20,3.1187,4.062,16.73,22.9,11.65,11.85,53159237,629936958,2021.1
TWG,2026-01-20,1.2989,3.48,8.0,8.18,4.68,5.37,49362299,265075545,443.1
CRVS,2026-01-20,0.6783,8.05,13.51,22.1,12.6901,21.41,83969882,1797795173,54.4
BTTC,2026-01-20,0.6176,1.7,2.75,3.32,2.25,2.39,73175292,174888947,526.0
CCHH,2026-01-20,0.5058,4.46,6.716,8.5,5.6,5.729,8040814,46065823,187.5
ICON,2026-01-20,0.3918,1.94,2.7,3.1,2.15,2.31,26922287,62190482,888.2
POLA,2026-01-20,0.256,1.68,2.11,3.74,2.0809,2.37,69990904,165878442,3016.3
