recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail
L3_rsi35,15m_candle_dn,1,3,"DIA,QQQ,SPY",3/4,15.666666666666666,0.7680555555555556,0.0019680395887138333,0.0005308978966860129,10,0.6666666666666666,0.0013075012231188,0.027501371482717425,DIA n=21 WR=67% avg=+0.131% Δ=+0.008% | QQQ n=10 WR=70% avg=+0.303% Δ=+0.102% | SPY n=16 WR=94% avg=+0.157% Δ=+0.049%
L2_hvol,30m_bb_mid,1,3,"DIA,IWM,SPY",3/4,34.666666666666664,0.6969250417526279,0.0012488464141295666,2.1342423297057857e-05,29,0.6206896551724138,0.0011981911102247,0.026304480916359792,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=36 WR=78% avg=+0.123% Δ=+0.005%
L2_hvol,1d_rsi_mid,1,3,"DIA,IWM,SPY",3/4,27.666666666666668,0.7043324491600353,0.0014569756754320002,0.00022947168459943332,15,0.6206896551724138,0.0011834615838809,0.026181329350786285,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=15 WR=80% avg=+0.187% Δ=+0.069%
L1_prior_up,1d_rsi_mid,1,3,"DIA,IWM,SPY",3/4,34.666666666666664,0.6496491228070176,0.0013806419344848666,0.0002369766644034,16,0.5789473684210527,0.0008904100109302,0.02582067535029914,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=16 WR=75% avg=+0.173% Δ=+0.071%
L1_prior_up,1h_rsi_mid,1,3,"DIA,IWM,SPY",3/4,32.0,0.6854742547425475,0.0012866190031135998,0.0001429537330321,25,0.5666666666666667,0.0010583366174583,0.025123464199876457,DIA n=41 WR=61% avg=+0.106% Δ=+0.017% | IWM n=30 WR=57% avg=+0.163% Δ=+0.011% | SPY n=25 WR=88% avg=+0.117% Δ=+0.015%
raw_bb_dn,15m_vwap_dn,1,3,"IWM,QQQ,SPY",3/4,28.666666666666668,0.5888888888888889,0.0013851327569154332,0.0007061968271268,20,0.55,0.0007877931576917,0.025018713645023637,IWM n=36 WR=58% avg=+0.142% Δ=+0.076% | QQQ n=30 WR=63% avg=+0.195% Δ=+0.111% | SPY n=20 WR=55% avg=+0.079% Δ=+0.026%
L2_hvol,1h_candle_dn,1,3,"DIA,IWM,QQQ",3/4,14.666666666666666,0.7007422402159245,0.0017372862677530333,0.0006585069780197333,12,0.6153846153846154,0.001529521336008,0.024033200256648138,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=12 WR=75% avg=+0.153% Δ=+0.080%
L1_prior_up,1w_rsi_hi,1,3,"DIA,IWM,SPY",3/4,39.0,0.6065456745311555,0.0011754198455053667,3.175457542391708e-05,29,0.5789473684210527,0.0008904100109302,0.023896248580500618,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=29 WR=62% avg=+0.111% Δ=+0.010%
L2_hvol,1h_rsi_mid,1,3,"DIA,IWM,SPY",3/4,25.0,0.7085137085137084,0.0013167474480428336,8.92434572103085e-05,21,0.5714285714285714,0.0012616905117663,0.023723008351540672,DIA n=33 WR=70% avg=+0.136% Δ=+0.018% | IWM n=21 WR=57% avg=+0.133% Δ=+0.001% | SPY n=21 WR=86% avg=+0.126% Δ=+0.008%
L2_hvol,1w_candle_dn,1,3,"DIA,IWM,SPY",3/4,27.333333333333332,0.6995705443981306,0.0012872315317861334,5.972754095356667e-05,14,0.6206896551724138,0.0011834615838809,0.023313041873689773,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=14 WR=79% avg=+0.136% Δ=+0.018%
L1_prior_up,1w_candle_dn,1,3,"DIA,IWM,SPY",3/4,34.333333333333336,0.6440935672514619,0.0012191809486099333,7.551567852846667e-05,15,0.5789473684210527,0.0008904100109302,0.023120489577445263,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=15 WR=73% avg=+0.125% Δ=+0.023%
L3_rsi35,30m_bb_mid,1,3,"DIA,IWM,QQQ",3/4,18.666666666666668,0.665954415954416,0.0015278745975106,0.0,12,0.5833333333333334,0.0012254774136195,0.022925193202358553,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=18 WR=72% avg=+0.200% Δ=+0.000%
L1_prior_up,1d_bb_mid,1,3,"DIA,IWM,QQQ",3/4,43.333333333333336,0.5901253132832079,0.0010712219407644,8.196607332416736e-06,38,0.5714285714285714,0.0008021838409576,0.022738540667238846,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=42 WR=57% avg=+0.080% Δ=+0.002%
L2_hvol,1h_bb_mid,1,3,"DIA,IWM,QQQ",3/4,32.0,0.6333846469622332,0.0011157909401328667,3.701165039961346e-05,29,0.59375,0.0007857690925067,0.021537085122466534,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=32 WR=59% avg=+0.079% Δ=+0.005%
L2_hvol,1d_bb_mid,1,3,"DIA,IWM,QQQ",3/4,33.333333333333336,0.6355824491600354,0.0010890659928707,1.0286703137426767e-05,29,0.59375,0.0007632051056811,0.02150363367555714,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=32 WR=59% avg=+0.076% Δ=+0.003%
raw_bb_dn,30m_vwap_dn,1,3,"IWM,QQQ,SPY",3/4,19.333333333333332,0.6280193236714976,0.0014265890828778,0.0007476531530892333,12,0.6086956521739131,0.0010036278232709,0.021475732020064517,IWM n=23 WR=61% avg=+0.136% Δ=+0.069% | QQQ n=23 WR=61% avg=+0.192% Δ=+0.108% | SPY n=12 WR=67% avg=+0.100% Δ=+0.047%
