setup,mechanic,hist_n,hist_wr,hist_avg,hist_med,hist_p10_ret,hist_p05_ret,hist_worst_ret,hist_avg_bars,hist_exit_reasons,hist_h1_n,hist_h1_wr,hist_h1_avg,hist_h2_n,hist_h2_wr,hist_h2_avg,recent_n,recent_wr,recent_avg,recent_med,recent_p10_ret,recent_p05_ret,recent_worst_ret,recent_avg_bars,recent_exit_reasons
L1_first,fixed_5,217,0.576036866359447,0.0003297348004191,0.0002258824567045,-0.0020571565480017,-0.0029838252192141,-0.0147243061940187,4.953917050691245,time:95.9%;eod:4.1%,110,0.6272727272727273,0.0004943257696657,107,0.5233644859813084,0.0001605291311002,27,0.6296296296296297,0.0006575807073745,0.0003133794244807,-0.0010121511297021,-0.0017999321395115,-0.0020330988320936,4.703703703703703,time:88.9%;eod:11.1%
L1_first,fixed_8,217,0.5898617511520737,0.0007482982748857,0.0005320084133209,-0.0020283984808014,-0.0035147434911801,-0.0169170816714184,7.792626728110599,time:92.6%;eod:7.4%,110,0.6272727272727273,0.0011598975930382,107,0.5514018691588785,0.0003251587889345,27,0.6666666666666666,0.0013060880571346,0.0004788260032395,-0.0007970101828468,-0.0012055340467514,-0.001593120022589,7.37037037037037,time:88.9%;eod:11.1%
L1_first,fixed_12,217,0.6543778801843319,0.0009494351911426,0.0005210864231073,-0.0022822622465209,-0.0036180342473379,-0.0128741518849625,11.400921658986174,time:87.6%;eod:12.4%,110,0.6545454545454545,0.0014820826401667,107,0.6542056074766355,0.0004018537014918,27,0.6666666666666666,0.0010996046429603,0.0008050314685523,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,10.88888888888889,time:85.2%;eod:14.8%
L1_first,fixed_18,217,0.6912442396313364,0.001337143057289,0.0009921708560582,-0.0022804440702001,-0.0042763079787365,-0.0095849886688632,16.52073732718894,time:82.0%;eod:18.0%,110,0.7363636363636363,0.0019696809959515,107,0.6448598130841121,0.0006868704100659,27,0.6296296296296297,0.0012768360397538,0.0007567813456526,-0.0014150771807881,-0.0026308402561853,-0.0042235084745474,15.851851851851851,time:81.5%;eod:18.5%
L1_first,fixed_24,217,0.6912442396313364,0.001691752561472,0.0011004915825685,-0.0018977256599795,-0.0029205076526187,-0.009160198519845,21.29493087557604,time:76.0%;eod:24.0%,110,0.7090909090909091,0.0025116414340073,107,0.6728971962616822,0.0008488761504545,27,0.6296296296296297,0.0015493381061419,0.0007851957345412,-0.0015639771363862,-0.0035276724044271,-0.005038049775254,20.74074074074074,time:77.8%;eod:22.2%
L1_first,fixed_eod,217,0.7741935483870968,0.0042556365605252,0.0026446343161314,-0.0009832921820317,-0.0016877849752624,-0.0082580537807016,48.70967741935484,eod:100.0%,110,0.8090909090909091,0.0061939750231791,107,0.7383177570093458,0.0022629521596661,27,0.8148148148148148,0.0023572322714268,0.0018294103427496,-0.000480805531026,-0.0008722619834942,-0.0013401418931937,45.407407407407405,eod:100.0%
L1_first,sma9_close_max12,217,0.6497695852534562,0.0005768217600316,0.0005052806315863,-0.0015051914917948,-0.0029317791846185,-0.010218837830299,6.594470046082949,sma9_close:89.4%;time:6.5%;eod:4.1%,110,0.7090909090909091,0.0008861114615179,107,0.5887850467289719,0.0002588603846719,27,0.6666666666666666,0.0007649294516089,0.0003772625592968,-0.0005555269806525,-0.0008922875718684,-0.0013401418931937,5.962962962962963,sma9_close:88.9%;eod:11.1%
L1_first,bbmid_close_max12,217,0.6912442396313364,0.0007074435862263,0.0004782918904024,-0.0022822622465209,-0.0036180342473379,-0.0128741518849625,9.142857142857142,bb_mid_close:54.4%;time:39.2%;eod:6.5%,110,0.6818181818181818,0.0011596275672262,107,0.7009345794392523,0.0002425815496843,27,0.7407407407407407,0.0010112191247204,0.0006575108510948,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,7.962962962962963,bb_mid_close:66.7%;time:22.2%;eod:11.1%
L1_first,target15_max12,217,0.7419354838709677,0.0004151351055476,0.0013497749999999,-0.0014081115469398,-0.0023364785802831,-0.007678278825454,7.387096774193548,target_15bp:53.5%;time:39.2%;eod:7.4%,110,0.7636363636363637,0.0004913335988935,107,0.719626168224299,0.0003368002058463,27,0.7407407407407407,0.0005624294900665,0.0013497749999999,-0.0005549148837988,-0.001111490033801,-0.003436063308666,7.592592592592593,target_15bp:51.9%;time:33.3%;eod:14.8%
L1_first,target25_max12,217,0.7096774193548387,0.0006251497754049,0.0008580674999258,-0.0017850627493035,-0.0027764137602365,-0.0079254112375256,8.80184331797235,time:51.2%;target_25bp:38.7%;eod:10.1%,110,0.7363636363636363,0.0008500663194196,107,0.6822429906542056,0.0003939271600628,27,0.7037037037037037,0.0006456402498858,0.0008499578017793,-0.0006549519046987,-0.0011692271909115,-0.003436063308666,9.62962962962963,time:66.7%;target_25bp:18.5%;eod:14.8%
