recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail,kind
L3_rsi35,1h_bb_mid+1w_rsi_hi,2,3,"DIA,QQQ,SPY",3/4,17.333333333333332,0.7777777777777778,0.0016343700561021,0.00019722836407426867,12,0.7083333333333334,0.001257502414032,0.0247791896227588,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=16 WR=88% avg=+0.132% Δ=+0.024%,pair
L2_hvol,1w_rsi_hi+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,30.0,0.6800900249176111,0.0012872274055473001,5.972341471475615e-05,22,0.6206896551724138,0.0011981911102247,0.02462185832017213,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=22 WR=73% avg=+0.134% Δ=+0.016%,pair
L3_rsi35,1w_rsi_hi+30m_bb_mid,2,3,"DIA,QQQ,SPY",3/4,18.0,0.7724358974358975,0.0016109745827936998,0.00017383289076586665,12,0.6923076923076923,0.0012254774136195,0.024575802974893167,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=16 WR=88% avg=+0.129% Δ=+0.021%,pair
L2_hvol,1w_above_sma9+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,31.0,0.6643324491600353,0.0012520770178179668,2.457302698542347e-05,25,0.6206896551724138,0.0011834615838809,0.024169748266088358,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=25 WR=68% avg=+0.125% Δ=+0.007%,pair
L2_hvol,1h_candle_dn,1,3,"DIA,IWM,QQQ",3/4,14.666666666666666,0.7007422402159245,0.0017372862677530333,0.0006585069780197333,12,0.6153846153846154,0.001529521336008,0.024033200256648138,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=12 WR=75% avg=+0.153% Δ=+0.080%,single
L2_hvol,1h_bb_mid+1h_candle_dn,2,3,"DIA,IWM,QQQ",3/4,14.666666666666666,0.7007422402159245,0.0017372862677530333,0.0006585069780197333,12,0.6153846153846154,0.001529521336008,0.024033200256648138,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=12 WR=75% avg=+0.153% Δ=+0.080%,pair
L1_prior_up,1w_rsi_hi,1,3,"DIA,IWM,SPY",3/4,39.0,0.6065456745311555,0.0011754198455053667,3.175457542391708e-05,29,0.5789473684210527,0.0008904100109302,0.023896248580500618,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=29 WR=62% avg=+0.111% Δ=+0.010%,single
L2_hvol,1h_rsi_mid,1,3,"DIA,IWM,SPY",3/4,25.0,0.7085137085137084,0.0013167474480428336,8.92434572103085e-05,21,0.5714285714285714,0.0012616905117663,0.023723008351540672,DIA n=33 WR=70% avg=+0.136% Δ=+0.018% | IWM n=21 WR=57% avg=+0.133% Δ=+0.001% | SPY n=21 WR=86% avg=+0.126% Δ=+0.008%,single
L2_hvol,1h_bb_mid+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,29.0,0.6528592846433926,0.0012731416117883001,4.5637620955755196e-05,23,0.6206896551724138,0.0012410724388418,0.023625643429235385,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=23 WR=65% avg=+0.126% Δ=+0.008%,pair
L2_hvol,1w_candle_dn,1,3,"DIA,IWM,SPY",3/4,27.333333333333332,0.6995705443981306,0.0012872315317861334,5.972754095356667e-05,14,0.6206896551724138,0.0011834615838809,0.023313041873689773,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=14 WR=79% avg=+0.136% Δ=+0.018%,single
L2_hvol,1d_bb_mid+1d_rsi_mid,2,3,"DIA,IWM,SPY",3/4,27.333333333333332,0.6995705443981306,0.0012872315317861334,5.972754095356667e-05,14,0.6206896551724138,0.0011834615838809,0.023313041873689773,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=14 WR=79% avg=+0.136% Δ=+0.018%,pair
L2_hvol,1h_candle_dn+1w_above_sma9,2,3,"DIA,IWM,QQQ",3/4,14.333333333333334,0.6931664826401668,0.0017096433676993,0.0006308640779659999,11,0.6153846153846154,0.0014465926358468,0.023298393817903135,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=11 WR=73% avg=+0.145% Δ=+0.071%,pair
L1_prior_up,1w_candle_dn,1,3,"DIA,IWM,SPY",3/4,34.333333333333336,0.6440935672514619,0.0012191809486099333,7.551567852846667e-05,15,0.5789473684210527,0.0008904100109302,0.023120489577445263,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=15 WR=73% avg=+0.125% Δ=+0.023%,single
L3_rsi35,30m_bb_mid,1,3,"DIA,IWM,QQQ",3/4,18.666666666666668,0.665954415954416,0.0015278745975106,0.0,12,0.5833333333333334,0.0012254774136195,0.022925193202358553,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=18 WR=72% avg=+0.200% Δ=+0.000%,single
L1_prior_up,1d_bb_mid,1,3,"DIA,IWM,QQQ",3/4,43.333333333333336,0.5901253132832079,0.0010712219407644,8.196607332416736e-06,38,0.5714285714285714,0.0008021838409576,0.022738540667238846,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=42 WR=57% avg=+0.080% Δ=+0.002%,single
L1_prior_up,1h_bb_mid+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,38.666666666666664,0.6483796296296296,0.0010517242807798,0.000155884994513253,32,0.6222222222222222,0.0009682299960212,0.022443261600482965,DIA n=45 WR=62% avg=+0.097% Δ=+0.008% | QQQ n=32 WR=66% avg=+0.105% Δ=+0.027% | SPY n=39 WR=67% avg=+0.114% Δ=+0.012%,pair
L2_hvol,1d_bb_mid+1w_above_sma9,2,3,"DIA,IWM,QQQ",3/4,31.666666666666668,0.6475423257032452,0.0011470653252828667,6.828603554956667e-05,27,0.6206896551724138,0.0009372031029176,0.022282670049177347,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=27 WR=63% avg=+0.094% Δ=+0.020%,pair
L2_hvol,1d_bb_mid+1h_bb_mid,2,3,"DIA,IWM,QQQ",3/4,31.666666666666668,0.6397690555643837,0.0011269839250515,4.820463531822494e-05,29,0.6129032258064516,0.0008193480472626,0.02175238114761236,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=31 WR=61% avg=+0.082% Δ=+0.009%,pair
